alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
4.955629825592041,0,3.0923125743865967,4.222115993499756,1.0397917032241821,812,,,,,0.9730424880981445,0.09465178847312927,0.06674900650978088,5.028452396392822
,0,,,,812,0.9503787159919739,0.1032014787197113,0.07245347648859024,4.933781147003174,,,,
4.955629825592041,1,3.0923125743865967,4.222115993499756,1.0314713716506958,1625,,,,,0.9676599502563477,0.08464793860912323,0.06381123512983322,4.9926934242248535
,1,,,,1625,0.8973966240882874,0.1085885763168335,0.06285008788108826,4.64152193069458,,,,
4.955629825592041,2,3.0923125743865967,4.222115993499756,1.0302735567092896,2438,,,,,0.9677602052688599,0.09118892252445221,0.06251314282417297,4.989176273345947
,2,,,,2438,0.8923021554946899,0.10647221654653549,0.06095137447118759,4.610405445098877,,,,
4.955629825592041,3,3.0923125743865967,4.222115993499756,1.025551199913025,3251,,,,,0.9638148546218872,0.11350519210100174,0.061736490577459335,4.967221260070801
,3,,,,3251,0.8865957856178284,0.1050100028514862,0.05996936932206154,4.579086780548096,,,,
4.955629825592041,4,3.0923125743865967,4.222115993499756,1.0214670896530151,4064,,,,,0.9602224826812744,0.09311273694038391,0.06124451011419296,4.947899341583252
,4,,,,4064,0.882256031036377,0.10720332711935043,0.05858265981078148,4.5532917976379395,,,,
4.955629825592041,5,3.0923125743865967,4.222115993499756,1.0286909341812134,4877,,,,,0.9678952693939209,0.09503655135631561,0.060795776546001434,4.984532833099365
,5,,,,4877,0.8805636167526245,0.1050100028514862,0.05794571340084076,4.542938232421875,,,,
4.955629825592041,6,3.0923125743865967,4.222115993499756,1.0178351402282715,5690,,,,,0.9586508870124817,0.08772604912519455,0.05918433517217636,4.933737754821777
,6,,,,5690,0.874620258808136,0.10362474620342255,0.05707143619656563,4.5107831954956055,,,,
4.955629825592041,7,3.0923125743865967,4.222115993499756,1.0178202390670776,6503,,,,,0.9595935344696045,0.10080800205469131,0.05822652950882912,4.935450077056885
,7,,,,6503,0.8690876364707947,0.10593350976705551,0.05613330006599426,4.480460166931152,,,,
4.955629825592041,8,3.0923125743865967,4.222115993499756,1.0206077098846436,7316,,,,,0.9623167514801025,0.10003847628831863,0.0582910031080246,4.949143409729004
,8,,,,7316,0.8698846697807312,0.1134369745850563,0.05528920516371727,4.481805801391602,,,,
4.955629825592041,9,3.0923125743865967,4.222115993499756,1.0144495964050293,8129,,,,,0.9572951197624207,0.10465563833713531,0.05715440586209297,4.920742034912109
,9,,,,8129,0.8739229440689087,0.1055871918797493,0.05509099364280701,4.501200199127197,,,,
4.955629825592041,10,3.0923125743865967,4.222115993499756,1.0101323127746582,8942,,,,,0.953502357006073,0.10504040122032166,0.05663003772497177,4.900325775146484
,10,,,,8942,0.8673937320709229,0.11016622930765152,0.05410642549395561,4.465797424316406,,,,
4.955629825592041,11,3.0923125743865967,4.222115993499756,1.008387565612793,9755,,,,,0.9523133039474487,0.10427087545394897,0.05607399344444275,4.892714977264404
,11,,,,9755,0.8610012531280518,0.10866554081439972,0.053953222930431366,4.433646202087402,,,,
4.955629825592041,12,3.0923125743865967,4.222115993499756,1.011655569076538,10568,,,,,0.9556826949119568,0.09080415219068527,0.055972885340452194,4.909099102020264
,12,,,,10568,0.8608524203300476,0.09893027693033218,0.053617920726537704,4.431873321533203,,,,
4.955629825592041,13,3.0923125743865967,4.222115993499756,1.0115001201629639,11381,,,,,0.9556521773338318,0.10388611257076263,0.055848076939582825,4.908559799194336
,13,,,,11381,0.8583903312683105,0.11170540004968643,0.05290614068508148,4.417471408843994,,,,
4.955629825592041,14,3.0923125743865967,4.222115993499756,1.0110121965408325,12194,,,,,0.9549751877784729,0.10465563833713531,0.056037236005067825,4.905792236328125
,14,,,,12194,0.8650633692741394,0.10604894906282425,0.05285821482539177,4.4503984451293945,,,,
