alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
3.6318960189819336,0,3.7577922344207764,6.634798049926758,1.058262586593628,812,,,,,0.9892038106918335,0.10811850428581238,0.06905883550643921,3.8521921634674072
,0,,,,812,1.0075860023498535,0.11751578003168106,0.08066218346357346,3.9625556468963623,,,,
3.6318960189819336,1,3.7577922344207764,6.634798049926758,1.0493338108062744,1625,,,,,0.9832242131233215,0.14544054865837097,0.06610937416553497,3.819391965866089
,1,,,,1625,0.9247888922691345,0.13048329949378967,0.06352883577346802,3.597466468811035,,,,
3.6318960189819336,2,3.7577922344207764,6.634798049926758,1.0366156101226807,2438,,,,,0.9735917448997498,0.11619853973388672,0.06302382051944733,3.772812604904175
,2,,,,2438,0.9038195013999939,0.13921810686588287,0.06104384735226631,3.5119667053222656,,,,
3.6318960189819336,3,3.7577922344207764,6.634798049926758,1.0384161472320557,3251,,,,,0.9771044254302979,0.12427856773138046,0.06131146475672722,3.7791359424591064
,3,,,,3251,0.8966144919395447,0.1320994347333908,0.05922902002930641,3.4789814949035645,,,,
3.6318960189819336,4,3.7577922344207764,6.634798049926758,1.0274221897125244,4064,,,,,0.9674928784370422,0.13120430707931519,0.05992947146296501,3.73903489112854
,4,,,,4064,0.8912771940231323,0.1314452886581421,0.0577552504837513,3.454055070877075,,,,
3.6318960189819336,5,3.7577922344207764,6.634798049926758,1.0244914293289185,4877,,,,,0.9660121202468872,0.13774529099464417,0.05847939848899841,3.7282071113586426
,5,,,,4877,0.8913768529891968,0.13352316617965698,0.056656889617443085,3.4502925872802734,,,,
3.6318960189819336,6,3.7577922344207764,6.634798049926758,1.0161386728286743,5690,,,,,0.957950234413147,0.12774144113063812,0.058188486844301224,3.6978349685668945
,6,,,,5690,0.8841541409492493,0.1371787041425705,0.05600989609956741,3.421627998352051,,,,
3.6318960189819336,7,3.7577922344207764,6.634798049926758,1.0146132707595825,6503,,,,,0.9572935104370117,0.1381300538778305,0.05731987953186035,3.692185163497925
,7,,,,6503,0.8830294609069824,0.1381022036075592,0.05598457157611847,3.4174513816833496,,,,
3.6318960189819336,8,3.7577922344207764,6.634798049926758,1.0171843767166138,7316,,,,,0.9597293138504028,0.11927664279937744,0.057455163449048996,3.7015397548675537
,8,,,,7316,0.8717542290687561,0.13140679895877838,0.055012017488479614,3.3728439807891846,,,,
3.6318960189819336,9,3.7577922344207764,6.634798049926758,1.0228805541992188,8129,,,,,0.9656784534454346,0.1208157017827034,0.05720224231481552,3.7221951484680176
,9,,,,8129,0.8732534646987915,0.1305217742919922,0.05418943613767624,3.375197410583496,,,,
3.6318960189819336,10,3.7577922344207764,6.634798049926758,1.012630581855774,8942,,,,,0.9563875794410706,0.13197383284568787,0.05624283477663994,3.684847593307495
,10,,,,8942,0.8749009370803833,0.1332922875881195,0.05355781316757202,3.378803253173828,,,,
3.6318960189819336,11,3.7577922344207764,6.634798049926758,1.0039883852005005,9755,,,,,0.9487286806106567,0.11388995498418808,0.05525956675410271,3.653337240219116
,11,,,,9755,0.8654724359512329,0.13079112768173218,0.05286746472120285,3.3419699668884277,,,,
3.6318960189819336,12,3.7577922344207764,6.634798049926758,1.010487675666809,10568,,,,,0.955018937587738,0.12735667824745178,0.05546856299042702,3.676966428756714
,12,,,,10568,0.878578245639801,0.12436509132385254,0.053565267473459244,3.392188549041748,,,,
3.6318960189819336,13,3.7577922344207764,6.634798049926758,1.0111323595046997,11381,,,,,0.9566506147384644,0.12389380484819412,0.054481737315654755,3.6791858673095703
,13,,,,11381,0.8614431023597717,0.1305217742919922,0.05152399465441704,3.3222901821136475,,,,
3.6318960189819336,14,3.7577922344207764,6.634798049926758,1.0009080171585083,12194,,,,,0.9477925300598145,0.10811850428581238,0.053115375339984894,3.641881227493286
,14,,,,12194,0.8687007427215576,0.1293289214372635,0.05068451538681984,3.3454885482788086,,,,
