alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
1.2535322904586792,0,8.216917991638184,1.676339030265808,1.0241498947143555,812,,,,,0.9711465835571289,0.12120046466588974,0.05300339683890343,1.6528881788253784
,0,,,,812,0.9322299361228943,0.11351393163204193,0.05637602508068085,1.631818175315857,,,,
1.2535322904586792,1,8.216917991638184,1.676339030265808,1.0137475728988647,1625,,,,,0.9632318019866943,0.10388611257076263,0.05051577463746071,1.6225260496139526
,1,,,,1625,0.9009711742401123,0.13425427675247192,0.05012180656194687,1.5412425994873047,,,,
1.2535322904586792,2,8.216917991638184,1.676339030265808,1.0073513984680176,2438,,,,,0.9582864046096802,0.13389764726161957,0.04906512051820755,1.604406714439392
,2,,,,2438,0.894817054271698,0.1338309943675995,0.048250921070575714,1.5181560516357422,,,,
1.2535322904586792,3,8.216917991638184,1.676339030265808,1.0018296241760254,3251,,,,,0.9532027840614319,0.10965756326913834,0.04862646013498306,1.5944300889968872
,3,,,,3251,0.8846273422241211,0.13090656697750092,0.047320812940597534,1.4977401494979858,,,,
1.2535322904586792,4,8.216917991638184,1.676339030265808,0.9969179630279541,4064,,,,,0.9495707154273987,0.13774529099464417,0.04734716936945915,1.5793651342391968
,4,,,,4064,0.8834364414215088,0.1332922875881195,0.04702248051762581,1.4937962293624878,,,,
1.2535322904586792,5,8.216917991638184,1.676339030265808,0.9931989312171936,4877,,,,,0.9455204010009766,0.13851481676101685,0.04767892509698868,1.5770140886306763
,5,,,,4877,0.8843255043029785,0.1335616409778595,0.0459500253200531,1.4860981702804565,,,,
1.2535322904586792,6,8.216917991638184,1.676339030265808,0.9935455322265625,5690,,,,,0.9468193054199219,0.12350904196500778,0.04672599583864212,1.570812702178955
,6,,,,5690,0.8748084306716919,0.13125288486480713,0.04608995094895363,1.4753175973892212,,,,
1.2535322904586792,7,8.216917991638184,1.676339030265808,0.9937734007835388,6503,,,,,0.9469560980796814,0.12581762671470642,0.046817466616630554,1.571735143661499
,7,,,,6503,0.877596914768219,0.1284823715686798,0.0456656776368618,1.4753276109695435,,,,
1.2535322904586792,8,8.216917991638184,1.676339030265808,0.9897844195365906,7316,,,,,0.9430510997772217,0.14659483730793,0.046733543276786804,1.5661505460739136
,8,,,,7316,0.8698604106903076,0.13221487402915955,0.045359764248132706,1.4631158113479614,,,,
1.2535322904586792,9,8.216917991638184,1.676339030265808,0.9876605868339539,8129,,,,,0.9413965940475464,0.11465948075056076,0.046264179050922394,1.5602198839187622
,9,,,,8129,0.8805197477340698,0.13352316617965698,0.04541228711605072,1.4769082069396973,,,,
1.2535322904586792,10,8.216917991638184,1.676339030265808,0.9884291887283325,8942,,,,,0.9423626065254211,0.13081954419612885,0.04606664925813675,1.5598080158233643
,10,,,,8942,0.8683381080627441,0.13021394610404968,0.045254576951265335,1.4603431224822998,,,,
1.2535322904586792,11,8.216917991638184,1.676339030265808,0.9875240325927734,9755,,,,,0.9413583278656006,0.10580992698669434,0.04616571217775345,1.5593628883361816
,11,,,,9755,0.8730764389038086,0.12955980002880096,0.04494130238890648,1.4637094736099243,,,,
1.2535322904586792,12,8.216917991638184,1.676339030265808,0.9845911264419556,10568,,,,,0.93901526927948,0.11427471786737442,0.04557553306221962,1.5515769720077515
,12,,,,10568,0.8704822063446045,0.1305987387895584,0.044642072170972824,1.457995891571045,,,,
1.2535322904586792,13,8.216917991638184,1.676339030265808,0.983810544013977,11381,,,,,0.9383950233459473,0.14505578577518463,0.045415617525577545,1.549485206604004
,13,,,,11381,0.867709219455719,0.1324072629213333,0.044372472912073135,1.4523075819015503,,,,
1.2535322904586792,14,8.216917991638184,1.676339030265808,0.9829716086387634,12194,,,,,0.9382164478302002,0.11966140568256378,0.044755224138498306,1.5438348054885864
,14,,,,12194,0.8737090826034546,0.13106049597263336,0.04476143419742584,1.4630235433578491,,,,
