epoch,lambda_kl,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
0,,1.044205665588379,812,,,,,0.9799661040306091,0.11196614056825638,0.06423960626125336,8.426034927368164
0,7.94789981842041,,812,0.9223304390907288,0.09108050167560577,0.06402264535427094,7.958766937255859,,,,
1,,1.0214053392410278,1625,,,,,0.9606323838233948,0.09465178847312927,0.06077288091182709,8.242316246032715
1,7.94789981842041,,1625,0.8920652866363525,0.10127751529216766,0.059267353266477585,7.676527500152588,,,,
2,,1.012364387512207,2438,,,,,0.9548393487930298,0.08811081200838089,0.057524893432855606,8.169710159301758
2,7.94789981842041,,2438,0.8826168775558472,0.10427889972925186,0.056635644286870956,7.579274654388428,,,,
3,,1.0093989372253418,3251,,,,,0.9534372687339783,0.09041938930749893,0.05596185848116875,8.14596176147461
3,7.94789981842041,,3251,0.8776108622550964,0.10443281382322311,0.05443736910820007,7.521380424499512,,,,
4,,1.0056277513504028,4064,,,,,0.9508993625640869,0.08772604912519455,0.054728519171476364,8.115660667419434
4,7.94789981842041,,4064,0.862614095211029,0.10304755717515945,0.05293362960219383,7.388288497924805,,,,
5,,0.9971424341201782,4877,,,,,0.9435663223266602,0.0996537134051323,0.05357632040977478,8.047269821166992
5,7.94789981842041,,4877,0.8569881319999695,0.10416346043348312,0.05158550664782524,7.332130432128906,,,,
6,,0.9956879615783691,5690,,,,,0.9430692791938782,0.09657560288906097,0.0526185967028141,8.03564453125
6,7.94789981842041,,5690,0.858017086982727,0.1107049435377121,0.04987999424338341,7.326889514923096,,,,
7,,0.9908878207206726,6503,,,,,0.9389933943748474,0.11196614056825638,0.051894620060920715,7.996967792510986
7,7.94789981842041,,6503,0.8631476163864136,0.11616899818181992,0.04932468757033348,7.363907814025879,,,,
8,,0.9924813508987427,7316,,,,,0.9407240748405457,0.09503655135631561,0.05175740271806717,8.009855270385742
8,7.94789981842041,,7316,0.8597092628479004,0.11743881553411484,0.04941170662641525,7.336838722229004,,,,
9,,0.9881129264831543,8129,,,,,0.9367964863777161,0.10773374140262604,0.05131639540195465,7.974628925323486
9,7.94789981842041,,8129,0.8565919995307922,0.10928120464086533,0.048820558935403824,7.306957244873047,,,,
10,,0.9899528622627258,8942,,,,,0.9386579394340515,0.10850326716899872,0.05129481852054596,7.989496231079102
10,7.94789981842041,,8942,0.8483860492706299,0.11216715723276138,0.04829930141568184,7.236532211303711,,,,
11,,0.9818554520606995,9755,,,,,0.9314184784889221,0.1073489785194397,0.050437089055776596,7.92419958114624
11,7.94789981842041,,9755,0.8502203822135925,0.11209019273519516,0.04821714386343956,7.250700950622559,,,,
12,,0.9865564107894897,10568,,,,,0.9356917142868042,0.12043093144893646,0.050864871591329575,7.962116718292236
12,7.94789981842041,,10568,0.8426749110221863,0.11235955357551575,0.047536320984363556,7.18433952331543,,,,
13,,0.981488823890686,11381,,,,,0.9311887621879578,0.09503655135631561,0.050300054252147675,7.9212565422058105
13,7.94789981842041,,11381,0.8438419699668884,0.1100892722606659,0.047799140214920044,7.19585657119751,,,,
14,,0.9864336848258972,12194,,,,,0.936225950717926,0.10042323917150497,0.05020783469080925,7.961210250854492
14,7.94789981842041,,12194,0.832616925239563,0.10808835178613663,0.047386836260557175,7.101914882659912,,,,
