epoch,lambda_kl,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
0,,1.021146535873413,812,,,,,0.9689167141914368,0.12774144113063812,0.052229832857847214,1.3410670757293701
0,6.302927017211914,,812,0.9248260855674744,0.11682315170764923,0.055200982838869095,1.3137491941452026,,,,
1,,1.0075849294662476,1625,,,,,0.9581679701805115,0.1323585957288742,0.0494169183075428,1.3121122121810913
1,6.302927017211914,,1625,0.893426239490509,0.13760197162628174,0.04787331447005272,1.2347716093063354,,,,
2,,1.00136399269104,2438,,,,,0.953704297542572,0.1458253115415573,0.047659505158662796,1.2963742017745972
2,6.302927017211914,,2438,0.8791646957397461,0.1381022036075592,0.045582365244627,1.2054386138916016,,,,
3,,0.9973717331886292,3251,,,,,0.9512161016464233,0.13543671369552612,0.04615583270788193,1.2842973470687866
3,6.302927017211914,,3251,0.8777170181274414,0.14345082640647888,0.04404903203248978,1.1942614316940308,,,,
4,,0.9938371181488037,4064,,,,,0.9480887055397034,0.13928434252738953,0.045748624950647354,1.2784650325775146
4,6.302927017211914,,4064,0.8702868819236755,0.14491303265094757,0.04339536651968956,1.1823818683624268,,,,
5,,0.9921181797981262,4877,,,,,0.9466775059700012,0.13005001842975616,0.04544113576412201,1.2750532627105713
5,6.302927017211914,,4877,0.8688229322433472,0.14479759335517883,0.04293713718652725,1.1779650449752808,,,,
6,,0.9947661757469177,5690,,,,,0.9496775269508362,0.1342824101448059,0.0450885109603405,1.2759640216827393
6,6.302927017211914,,5690,0.8571091294288635,0.14791442453861237,0.042363010346889496,1.1621143817901611,,,,
7,,0.9852267503738403,6503,,,,,0.9404324889183044,0.12774144113063812,0.04479411616921425,1.2644530534744263
7,6.302927017211914,,6503,0.8558163642883301,0.1434893012046814,0.042058538645505905,1.1588433980941772,,,,
8,,0.9846376180648804,7316,,,,,0.9406402111053467,0.13582147657871246,0.04399747774004936,1.2596489191055298
8,6.302927017211914,,7316,0.8572631478309631,0.14595197141170502,0.04160584509372711,1.1575015783309937,,,,
9,,0.9833295941352844,8129,,,,,0.9392811059951782,0.10965756326913834,0.044048286974430084,1.2585498094558716
9,6.302927017211914,,8129,0.8536316752433777,0.14518238604068756,0.04135037586092949,1.152099370956421,,,,
10,,0.9868168830871582,8942,,,,,0.9426397085189819,0.14890342950820923,0.04417701065540314,1.2628687620162964
10,6.302927017211914,,8942,0.855036735534668,0.14183469116687775,0.04149674251675606,1.1544886827468872,,,,
11,,0.9814388155937195,9755,,,,,0.9377113580703735,0.11850711703300476,0.04372755438089371,1.2548890113830566
11,6.302927017211914,,9755,0.8504878878593445,0.14518238604068756,0.04120868444442749,1.1479229927062988,,,,
12,,0.982068657875061,10568,,,,,0.9383944869041443,0.12312427908182144,0.043673936277627945,1.255264401435852
12,6.302927017211914,,10568,0.8502950072288513,0.14314298331737518,0.04109039530158043,1.1469759941101074,,,,
13,,0.9795279502868652,11381,,,,,0.9354971051216125,0.1581377387046814,0.044031139463186264,1.2544898986816406
13,6.302927017211914,,11381,0.8581071496009827,0.14156533777713776,0.04052194952964783,1.151551365852356,,,,
14,,0.9803073406219482,12194,,,,,0.9358577132225037,0.15698345005512238,0.04444955661892891,1.2575037479400635
14,6.302927017211914,,12194,0.8450050354003906,0.1416807770729065,0.040313318371772766,1.13655424118042,,,,
