epoch,lambda_kl,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
0,,1.0712590217590332,812,,,,,1.0039690732955933,0.0958060771226883,0.06729019433259964,5.35132360458374
0,8.429060935974121,,812,2.913745403289795,0.12898260354995728,0.08142708986997604,14.5709867477417,,,,
1,,1.0390443801879883,1625,,,,,0.9795566201210022,0.12235475331544876,0.05948754772543907,5.169224739074707
1,8.429060935974121,,1625,0.949086606502533,0.1077035591006279,0.06122375279664993,5.038659572601318,,,,
2,,1.0284377336502075,2438,,,,,0.9708120226860046,0.11735282838344574,0.05762570723891258,5.111861705780029
2,8.429060935974121,,2438,0.9268145561218262,0.1095120832324028,0.05687709525227547,4.895898342132568,,,,
3,,1.0201634168624878,3251,,,,,0.964375376701355,0.12543286383152008,0.05578787624835968,5.06569766998291
3,8.429060935974121,,3251,0.9022224545478821,0.11601508408784866,0.05499565973877907,4.762845039367676,,,,
4,,1.016684651374817,4064,,,,,0.9622858762741089,0.14236244559288025,0.05439874529838562,5.044032096862793
4,8.429060935974121,,4064,0.8972956538200378,0.132984459400177,0.05303601920604706,4.722848415374756,,,,
5,,1.0096839666366577,4877,,,,,0.9565910696983337,0.12427856773138046,0.05309288948774338,5.005887031555176
5,8.429060935974121,,4877,0.8960533738136292,0.13683238625526428,0.05228254571557045,4.7105817794799805,,,,
6,,1.0115914344787598,5690,,,,,0.9595305919647217,0.1427472084760666,0.05206094682216644,5.011196613311768
6,8.429060935974121,,5690,0.8902571797370911,0.14091119170188904,0.050660960376262665,4.669293403625488,,,,
7,,1.012267827987671,6503,,,,,0.9592611789703369,0.1477491408586502,0.05300667881965637,5.017884731292725
7,8.429060935974121,,6503,0.8924586176872253,0.13798676431179047,0.05034685134887695,4.677135467529297,,,,
8,,1.0040581226348877,7316,,,,,0.9522743821144104,0.15582916140556335,0.05178393796086311,4.9742841720581055
8,8.429060935974121,,7316,0.8783652782440186,0.14414344727993011,0.04962649941444397,4.603908061981201,,,,
9,,1.0015058517456055,8129,,,,,0.9499749541282654,0.13774529099464417,0.05153121426701546,4.961197376251221
9,8.429060935974121,,8129,0.8850625157356262,0.1443743258714676,0.049963220953941345,4.638659954071045,,,,
10,,0.9982321858406067,8942,,,,,0.9471203088760376,0.13774529099464417,0.051112182438373566,4.944062232971191
10,8.429060935974121,,8942,0.8720492124557495,0.13979528844356537,0.04909097030758858,4.56929349899292,,,,
11,,0.9977064728736877,9755,,,,,0.9462814331054688,0.1477491408586502,0.0514250248670578,4.9427008628845215
11,8.429060935974121,,9755,0.87333744764328,0.14037248492240906,0.04878014698624611,4.572815895080566,,,,
12,,0.9945402145385742,10568,,,,,0.9427143931388855,0.11735282838344574,0.051826003938913345,4.9290852546691895
12,8.429060935974121,,10568,0.8641924858093262,0.13910266757011414,0.04837879166007042,4.525853157043457,,,,
13,,1.0006986856460571,11381,,,,,0.9495155811309814,0.14544054865837097,0.05118314549326897,4.9560747146606445
13,8.429060935974121,,11381,0.8738874197006226,0.14071878790855408,0.048257384449243546,4.57102632522583,,,,
14,,0.9985336661338806,12194,,,,,0.9476913213729858,0.13851481676101685,0.050842203199863434,4.9445085525512695
14,8.429060935974121,,12194,0.8704376220703125,0.13729412853717804,0.048306047916412354,4.554999351501465,,,,
