epoch,lambda_kl,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
0,,1.021632194519043,812,,,,,0.9674857258796692,0.1400538682937622,0.054146431386470795,1.6149059534072876
0,6.095854759216309,,812,0.9282707571983337,0.11032015085220337,0.057028867304325104,1.580398440361023,,,,
1,,1.008245825767517,1625,,,,,0.9576984643936157,0.14697960019111633,0.05054716020822525,1.5799682140350342
1,6.095854759216309,,1625,0.8885924220085144,0.12709711492061615,0.04989045485854149,1.4841907024383545,,,,
2,,0.9982823729515076,2438,,,,,0.9497883915901184,0.1427472084760666,0.04849408566951752,1.556947946548462
2,6.095854759216309,,2438,0.8844810128211975,0.13275358080863953,0.046681661158800125,1.4591708183288574,,,,
3,,0.9909963011741638,3251,,,,,0.9436682462692261,0.13274335861206055,0.04732801765203476,1.5417121648788452
3,6.095854759216309,,3251,0.8770895600318909,0.1395644098520279,0.04572787508368492,1.4435398578643799,,,,
4,,0.9885331988334656,4064,,,,,0.9419288039207458,0.1227395161986351,0.04660434275865555,1.534990906715393
4,6.095854759216309,,4064,0.8546262383460999,0.13794828951358795,0.04432128369808197,1.4051333665847778,,,,
5,,0.9857194423675537,4877,,,,,0.9395954608917236,0.11542901396751404,0.04612381383776665,1.5289626121520996
5,6.095854759216309,,4877,0.8641771078109741,0.13640911877155304,0.04372638091444969,1.4141913652420044,,,,
6,,0.9850535988807678,5690,,,,,0.9393081068992615,0.1485186666250229,0.045745790004730225,1.5262761116027832
6,6.095854759216309,,5690,0.8646218776702881,0.13556256890296936,0.04339493066072464,1.4127625226974487,,,,
7,,0.9810043573379517,6503,,,,,0.935914158821106,0.12581762671470642,0.04509006440639496,1.5177724361419678
7,6.095854759216309,,6503,0.8634054064750671,0.13671694695949554,0.04320840537548065,1.4100099802017212,,,,
8,,0.9842724204063416,7316,,,,,0.9394009113311768,0.13351288437843323,0.044871777296066284,1.5210716724395752
8,6.095854759216309,,7316,0.8523512482643127,0.13521625101566315,0.04300135001540184,1.3940657377243042,,,,
9,,0.9801632761955261,8129,,,,,0.935075581073761,0.11773759126663208,0.04508763924241066,1.5166436433792114
9,6.095854759216309,,8129,0.8645693063735962,0.13617824018001556,0.04265838861465454,1.4082034826278687,,,,
10,,0.9797746539115906,8942,,,,,0.9346215724945068,0.13928434252738953,0.04515279829502106,1.5164389610290527
10,6.095854759216309,,8942,0.8496565818786621,0.13452363014221191,0.04230903089046478,1.3862677812576294,,,,
11,,0.9804859161376953,9755,,,,,0.9357374906539917,0.13851481676101685,0.04474833235144615,1.5154550075531006
11,6.095854759216309,,9755,0.8552624583244324,0.13498537242412567,0.042639315128326416,1.395725131034851,,,,
12,,0.9816979169845581,10568,,,,,0.9370335340499878,0.1485186666250229,0.04466429725289345,1.5166635513305664
12,6.095854759216309,,10568,0.8545573353767395,0.13379251956939697,0.04279354214668274,1.3957306146621704,,,,
13,,0.9772376418113708,11381,,,,,0.9324500560760498,0.1419776827096939,0.04478744789958,1.5113272666931152
13,6.095854759216309,,11381,0.8470581769943237,0.13729412853717804,0.041622381657361984,1.3786321878433228,,,,
14,,0.9792903065681458,12194,,,,,0.9345251321792603,0.1227395161986351,0.04476528987288475,1.5139480829238892
14,6.095854759216309,,12194,0.8453679084777832,0.13352316617965698,0.042026229202747345,1.3788493871688843,,,,
