alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
3.332897424697876,0,4.8254899978637695,3.797119617462158,1.0475850105285645,812,,,,,0.9855444431304932,0.1285109668970108,0.0620407871901989,3.584094762802124
,0,,,,812,0.9478892683982849,0.10870401561260223,0.06577634066343307,3.4766223430633545,,,,
3.332897424697876,1,4.8254899978637695,3.797119617462158,1.0265862941741943,1625,,,,,0.9666704535484314,0.09272797405719757,0.05991584062576294,3.5109341144561768
,1,,,,1625,0.9135269522666931,0.12070956081151962,0.05900420993566513,3.3294167518615723,,,,
3.332897424697876,2,4.8254899978637695,3.797119617462158,1.0233428478240967,2438,,,,,0.964858889579773,0.10273181647062302,0.058483656495809555,3.497987985610962
,2,,,,2438,0.9079446196556091,0.12282592058181763,0.057905588299036026,3.305504083633423,,,,
3.332897424697876,3,4.8254899978637695,3.797119617462158,1.0153101682662964,3251,,,,,0.9577129483222961,0.12620238959789276,0.05759693682193756,3.469890832901001
,3,,,,3251,0.9084192514419556,0.1143219918012619,0.05692563205957413,3.302361011505127,,,,
3.332897424697876,4,4.8254899978637695,3.797119617462158,1.0154125690460205,4064,,,,,0.9584892392158508,0.09772989898920059,0.056923337280750275,3.4692280292510986
,4,,,,4064,0.8910638093948364,0.11505310237407684,0.05625322833657265,3.2412710189819336,,,,
3.332897424697876,5,4.8254899978637695,3.797119617462158,1.0095654726028442,4877,,,,,0.9539061784744263,0.09734513610601425,0.05565917119383812,3.4478535652160645
,5,,,,4877,0.8860524296760559,0.11428351700305939,0.05444391444325447,3.2158408164978027,,,,
3.332897424697876,6,4.8254899978637695,3.797119617462158,1.007798671722412,5690,,,,,0.9533439874649048,0.09465178847312927,0.05445452034473419,3.440166711807251
,6,,,,5690,0.8965725302696228,0.1131291389465332,0.05384449288249016,3.248011350631714,,,,
3.332897424697876,7,4.8254899978637695,3.797119617462158,1.006806492805481,6503,,,,,0.9525579214096069,0.09849942475557327,0.05424901843070984,3.436554193496704
,7,,,,6503,0.8878932595252991,0.10870401561260223,0.053404875099658966,3.216958999633789,,,,
3.332897424697876,8,4.8254899978637695,3.797119617462158,1.000846028327942,7316,,,,,0.9474471807479858,0.09542131423950195,0.05339876934885979,3.4154179096221924
,8,,,,7316,0.8908525705337524,0.1047021672129631,0.052652474492788315,3.223191022872925,,,,
3.332897424697876,9,4.8254899978637695,3.797119617462158,0.9983724355697632,8129,,,,,0.9450903534889221,0.09811466187238693,0.05328228697180748,3.407001495361328
,9,,,,8129,0.8771635293960571,0.10397106409072876,0.05279766395688057,3.1782727241516113,,,,
3.332897424697876,10,4.8254899978637695,3.797119617462158,0.9972091317176819,8942,,,,,0.943956732749939,0.08926510065793991,0.05325232073664665,3.403079032897949
,10,,,,8942,0.8816787600517273,0.10374018549919128,0.051877669990062714,3.1888771057128906,,,,
3.332897424697876,11,4.8254899978637695,3.797119617462158,0.9968701601028442,9755,,,,,0.9439448714256287,0.09080415219068527,0.052925288677215576,3.4014599323272705
,11,,,,9755,0.8731269836425781,0.09854548424482346,0.051508527249097824,3.158592939376831,,,,
3.332897424697876,12,4.8254899978637695,3.797119617462158,1.0015106201171875,10568,,,,,0.948855996131897,0.08772604912519455,0.052654799073934555,3.4165239334106445
,12,,,,10568,0.8770009279251099,0.09681391716003418,0.05146554484963417,3.171299934387207,,,,
3.332897424697876,13,4.8254899978637695,3.797119617462158,0.9993507266044617,11381,,,,,0.9470856189727783,0.09234321117401123,0.05226542055606842,3.4087438583374023
,13,,,,11381,0.8781314492225647,0.09646759927272797,0.051798343658447266,3.1766700744628906,,,,
3.332897424697876,14,4.8254899978637695,3.797119617462158,0.9952735900878906,12194,,,,,0.942618191242218,0.08772604912519455,0.05265526473522186,3.3957366943359375
,14,,,,12194,0.878229558467865,0.09219639748334885,0.05116267502307892,3.17393159866333,,,,
