alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
3.517425298690796,0,1.8152787685394287,7.382116794586182,1.074380874633789,812,,,,,0.9945077300071716,0.1227395161986351,0.07987315952777863,3.643099546432495
,0,,,,812,1.030452013015747,0.12790518999099731,0.0852295309305191,3.7792539596557617,,,,
3.517425298690796,1,1.8152787685394287,7.382116794586182,1.0553802251815796,1625,,,,,0.9845778346061707,0.10465563833713531,0.07080253958702087,3.591705083847046
,1,,,,1625,0.9310149550437927,0.1368708610534668,0.07245451956987381,3.4063005447387695,,,,
3.517425298690796,2,1.8152787685394287,7.382116794586182,1.044499397277832,2438,,,,,0.9751604795455933,0.11773759126663208,0.06933876127004623,3.555924415588379
,2,,,,2438,0.911865770816803,0.12540403008460999,0.06818173080682755,3.3311874866485596,,,,
3.517425298690796,3,1.8152787685394287,7.382116794586182,1.0389935970306396,3251,,,,,0.9707555174827576,0.11658330261707306,0.06823819875717163,3.5384304523468018
,3,,,,3251,0.8964160680770874,0.12648145854473114,0.06643479317426682,3.273674488067627,,,,
3.517425298690796,4,1.8152787685394287,7.382116794586182,1.0348402261734009,4064,,,,,0.9684380292892456,0.11581377685070038,0.06640205532312393,3.526947021484375
,4,,,,4064,0.8993068337440491,0.1236339882016182,0.06478038430213928,3.280837059020996,,,,
3.517425298690796,5,1.8152787685394287,7.382116794586182,1.0365160703659058,4877,,,,,0.9711845517158508,0.11350519210100174,0.0653313547372818,3.5346639156341553
,5,,,,4877,0.8925159573554993,0.12432660907506943,0.0638427659869194,3.2552499771118164,,,,
3.517425298690796,6,1.8152787685394287,7.382116794586182,1.0385026931762695,5690,,,,,0.9735749363899231,0.11158137768507004,0.06492771953344345,3.54233980178833
,6,,,,5690,0.8949854969978333,0.12017084658145905,0.06194434314966202,3.2604928016662598,,,,
3.517425298690796,7,1.8152787685394287,7.382116794586182,1.0313410758972168,6503,,,,,0.9678713083267212,0.10696421563625336,0.06346998363733292,3.519631862640381
,7,,,,6503,0.8880240321159363,0.12417269498109818,0.061019763350486755,3.234325408935547,,,,
3.517425298690796,8,1.8152787685394287,7.382116794586182,1.0317069292068481,7316,,,,,0.9685266017913818,0.10850326716899872,0.0631803572177887,3.5214099884033203
,8,,,,7316,0.8846129179000854,0.12282592058181763,0.06121625006198883,3.222684860229492,,,,
3.517425298690796,9,1.8152787685394287,7.382116794586182,1.0279637575149536,8129,,,,,0.9650200605392456,0.09811466187238693,0.06294335424900055,3.5086474418640137
,9,,,,8129,0.8733596205711365,0.1118977963924408,0.05972113460302353,3.1803860664367676,,,,
3.517425298690796,10,1.8152787685394287,7.382116794586182,1.025514841079712,8942,,,,,0.9633604288101196,0.10388611257076263,0.062154512852430344,3.5013766288757324
,10,,,,8942,0.8870052695274353,0.11532245576381683,0.05959845706820488,3.228163242340088,,,,
3.517425298690796,11,1.8152787685394287,7.382116794586182,1.0266203880310059,9755,,,,,0.9645660519599915,0.12158522754907608,0.06205444037914276,3.50543475151062
,11,,,,9755,0.8788334727287292,0.10924272984266281,0.059603750705718994,3.1994271278381348,,,,
3.517425298690796,12,1.8152787685394287,7.382116794586182,1.0371326208114624,10568,,,,,0.975726306438446,0.109272800385952,0.06140603497624397,3.5435140132904053
,12,,,,10568,0.8781978487968445,0.10893489420413971,0.058136675506830215,3.194528818130493,,,,
3.517425298690796,13,1.8152787685394287,7.382116794586182,1.0214282274246216,11381,,,,,0.9611898064613342,0.10773374140262604,0.060238007456064224,3.490262269973755
,13,,,,11381,0.8759178519248962,0.10581807047128677,0.057256124913692474,3.184915781021118,,,,
3.517425298690796,14,1.8152787685394287,7.382116794586182,1.0269712209701538,12194,,,,,0.9674329161643982,0.09426702558994293,0.059538234025239944,3.5109503269195557
,14,,,,12194,0.8692982196807861,0.10885793715715408,0.057074643671512604,3.1612980365753174,,,,
