alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
6.89874792098999,0,8.476945877075195,8.622946739196777,1.0807832479476929,812,,,,,1.0050451755523682,0.13966910541057587,0.0757381021976471,7.575584411621094
,0,,,,812,1.08269202709198,0.14237339794635773,0.08834492415189743,8.218127250671387,,,,
6.89874792098999,1,8.476945877075195,8.622946739196777,1.058022379875183,1625,,,,,0.9894776940345764,0.1381300538778305,0.06854487955570221,7.407214164733887
,1,,,,1625,0.9382262825965881,0.14718331396579742,0.0706925317645073,7.07185173034668,,,,
6.89874792098999,2,8.476945877075195,8.622946739196777,1.0521456003189087,2438,,,,,0.9842107892036438,0.15082724392414093,0.06793441623449326,7.365703105926514
,2,,,,2438,0.9072386622428894,0.12948283553123474,0.0654880478978157,6.81395149230957,,,,
6.89874792098999,3,8.476945877075195,8.622946739196777,1.0435676574707031,3251,,,,,0.9771924614906311,0.10042323917150497,0.06637530028820038,7.3040690422058105
,3,,,,3251,0.9081863164901733,0.12979067862033844,0.06457309424877167,6.812736511230469,,,,
6.89874792098999,4,8.476945877075195,8.622946739196777,1.0367660522460938,4064,,,,,0.9714166522026062,0.1188918799161911,0.06534894555807114,7.255522727966309
,4,,,,4064,0.9014927744865417,0.12821301817893982,0.0637308806180954,6.7594170570373535,,,,
6.89874792098999,5,8.476945877075195,8.622946739196777,1.0346280336380005,4877,,,,,0.9702473282814026,0.12389380484819412,0.06438062340021133,7.239245414733887
,5,,,,4877,0.8889458179473877,0.1263275295495987,0.06248719245195389,6.662313938140869,,,,
6.89874792098999,6,8.476945877075195,8.622946739196777,1.0436216592788696,5690,,,,,0.9792335629463196,0.08310888707637787,0.06438816338777542,7.301305770874023
,6,,,,5690,0.8883867263793945,0.12494228035211563,0.06126532331109047,6.648100852966309,,,,
6.89874792098999,7,8.476945877075195,8.622946739196777,1.0400649309158325,6503,,,,,0.9771968722343445,0.101577527821064,0.06286798417568207,7.274369239807129
,7,,,,6503,0.886814296245575,0.12528859078884125,0.06088728830218315,6.6340436935424805,,,,
6.89874792098999,8,8.476945877075195,8.622946739196777,1.0261733531951904,7316,,,,,0.9644362330436707,0.1169680655002594,0.06173715367913246,7.176749229431152
,8,,,,7316,0.8873651623725891,0.12355702370405197,0.05993308126926422,6.62976598739624,,,,
6.89874792098999,9,8.476945877075195,8.622946739196777,1.0258169174194336,8129,,,,,0.9648702144622803,0.11966140568256378,0.06094655022025108,7.1730427742004395
,9,,,,8129,0.8913014531135559,0.11636139452457428,0.0596192367374897,6.6542534828186035,,,,
6.89874792098999,10,8.476945877075195,8.622946739196777,1.0210415124893188,8942,,,,,0.9599586725234985,0.11235090345144272,0.0610828660428524,7.140312194824219
,10,,,,8942,0.8829086422920227,0.1170155480504036,0.05797642841935158,6.582435131072998,,,,
6.89874792098999,11,8.476945877075195,8.622946739196777,1.0233204364776611,9755,,,,,0.9634107351303101,0.13005001842975616,0.05990971624851227,7.154184341430664
,11,,,,9755,0.8847949504852295,0.11509157717227936,0.057853858917951584,6.594416618347168,,,,
6.89874792098999,12,8.476945877075195,8.622946739196777,1.018491506576538,10568,,,,,0.9602496027946472,0.12235475331544876,0.05824160575866699,7.118236064910889
,12,,,,10568,0.8789845705032349,0.11743881553411484,0.05600986257195473,6.538690567016602,,,,
6.89874792098999,13,8.476945877075195,8.622946739196777,1.009772777557373,11381,,,,,0.9533224701881409,0.1035013496875763,0.056450240314006805,7.055261611938477
,13,,,,11381,0.8777608275413513,0.11705402284860611,0.05455378443002701,6.517901420593262,,,,
6.89874792098999,14,8.476945877075195,8.622946739196777,1.013421893119812,12194,,,,,0.9578552842140198,0.10619468986988068,0.055566344410181046,7.079041004180908
,14,,,,12194,0.8703912496566772,0.11555333435535431,0.05365948751568794,6.459491729736328,,,,
