alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
3.1218104362487793,0,8.991147994995117,5.101014137268066,1.0453726053237915,812,,,,,0.9835082292556763,0.1323585957288742,0.06186418607831001,3.6265552043914795
,0,,,,812,0.9657295942306519,0.11705402284860611,0.070153146982193,3.6455812454223633,,,,
3.1218104362487793,1,8.991147994995117,5.101014137268066,1.0390281677246094,1625,,,,,0.9796175956726074,0.13158906996250153,0.059410642832517624,3.592348575592041
,1,,,,1625,0.9182740449905396,0.13683238625526428,0.05780927091836929,3.386446714401245,,,,
3.1218104362487793,2,8.991147994995117,5.101014137268066,1.0293960571289062,2438,,,,,0.97300785779953,0.1188918799161911,0.056388236582279205,3.5445384979248047
,2,,,,2438,0.8993049263954163,0.1416807770729065,0.054875973612070084,3.3008573055267334,,,,
3.1218104362487793,3,8.991147994995117,5.101014137268066,1.0284028053283691,3251,,,,,0.9750180840492249,0.13274335861206055,0.05338466539978981,3.5238094329833984
,3,,,,3251,0.8924950957298279,0.14510543644428253,0.05249378830194473,3.2581770420074463,,,,
3.1218104362487793,4,8.991147994995117,5.101014137268066,1.0118707418441772,4064,,,,,0.960345447063446,0.13889957964420319,0.05152564123272896,3.461289167404175
,4,,,,4064,0.8873690366744995,0.14402800798416138,0.0495491549372673,3.2157018184661865,,,,
3.1218104362487793,5,8.991147994995117,5.101014137268066,1.0139449834823608,4877,,,,,0.9637784361839294,0.1581377387046814,0.05016663670539856,3.459787607192993
,5,,,,4877,0.8835220336914062,0.14245036244392395,0.048490703105926514,3.1941750049591064,,,,
3.1218104362487793,6,8.991147994995117,5.101014137268066,1.0066553354263306,5690,,,,,0.9568679928779602,0.13005001842975616,0.049787431955337524,3.434805154800415
,6,,,,5690,0.8747776746749878,0.14522087574005127,0.047827135771512985,3.160912036895752,,,,
3.1218104362487793,7,8.991147994995117,5.101014137268066,1.0016275644302368,6503,,,,,0.9528406262397766,0.1408233940601349,0.04878699779510498,3.4132370948791504
,7,,,,6503,0.8695208430290222,0.14333538711071014,0.047357261180877686,3.1402747631073,,,,
3.1218104362487793,8,8.991147994995117,5.101014137268066,1.0043865442276,7316,,,,,0.9548240303993225,0.13005001842975616,0.04956257343292236,3.4264023303985596
,8,,,,7316,0.8667865991592407,0.1396028995513916,0.047207508236169815,3.130394697189331,,,,
3.1218104362487793,9,8.991147994995117,5.101014137268066,1.0065827369689941,8129,,,,,0.9569483995437622,0.13389764726161957,0.049633994698524475,3.4336767196655273
,9,,,,8129,0.8659430146217346,0.14418193697929382,0.04632727429270744,3.119844436645508,,,,
3.1218104362487793,10,8.991147994995117,5.101014137268066,1.000615119934082,8942,,,,,0.9513435959815979,0.1362062394618988,0.04927109554409981,3.412916421890259
,10,,,,8942,0.8657785654067993,0.14183469116687775,0.046187981963157654,3.118079423904419,,,,
3.1218104362487793,11,8.991147994995117,5.101014137268066,0.993381142616272,9755,,,,,0.9447397589683533,0.12120046466588974,0.04864128679037094,3.3866379261016846
,11,,,,9755,0.8584495186805725,0.14056487381458282,0.045857999473810196,3.0922298431396484,,,,
3.1218104362487793,12,8.991147994995117,5.101014137268066,0.997226893901825,10568,,,,,0.9491637945175171,0.14505578577518463,0.0480632521212101,3.3952503204345703
,12,,,,10568,0.8722414374351501,0.1341773122549057,0.046435631811618805,3.1404805183410645,,,,
