alpha1,epoch,lambda_kl,log_var,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
2.5926501750946045,0,2.3777883052825928,2.237412691116333,1.0286575555801392,812,,,,,0.9672440886497498,0.08964986354112625,0.06141377240419388,2.653752326965332
,0,,,,812,0.9244406223297119,0.09423580020666122,0.062423963099718094,2.545182228088379,,,,
2.5926501750946045,1,2.3777883052825928,2.237412691116333,1.0153332948684692,1625,,,,,0.9566740393638611,0.11812235414981842,0.05865925922989845,2.6197988986968994
,1,,,,1625,0.891865074634552,0.10162382572889328,0.05765398591756821,2.4493796825408936,,,,
2.5926501750946045,2,2.3777883052825928,2.237412691116333,1.0102640390396118,2438,,,,,0.9528844952583313,0.1331281214952469,0.05737926438450813,2.6069302558898926
,2,,,,2438,0.8857271671295166,0.11932430416345596,0.055540166795253754,2.4284420013427734,,,,
2.5926501750946045,3,2.3777883052825928,2.237412691116333,1.0045077800750732,3251,,,,,0.949569582939148,0.1111966148018837,0.05493819713592529,2.5925309658050537
,3,,,,3251,0.87138432264328,0.11266738176345825,0.05354374274611473,2.386509656906128,,,,
2.5926501750946045,4,2.3777883052825928,2.237412691116333,1.0067907571792603,4064,,,,,0.9522172808647156,0.1265871524810791,0.05457385629415512,2.598529577255249
,4,,,,4064,0.8683164119720459,0.10612590610980988,0.051748767495155334,2.3742876052856445,,,,
2.5926501750946045,5,2.3777883052825928,2.237412691116333,1.006226658821106,4877,,,,,0.9520346522331238,0.10003847628831863,0.05419250205159187,2.597148895263672
,5,,,,4877,0.8572285771369934,0.11601508408784866,0.05122073367238045,2.3442842960357666,,,,
2.5926501750946045,6,2.3777883052825928,2.237412691116333,0.9986382126808167,5690,,,,,0.9457966685295105,0.09926895052194595,0.05284169316291809,2.577763795852661
,6,,,,5690,0.8599027991294861,0.11016622930765152,0.050253111869096756,2.348917007446289,,,,
2.5926501750946045,7,2.3777883052825928,2.237412691116333,1.001783013343811,6503,,,,,0.9490510821342468,0.1111966148018837,0.05273183807730675,2.5859410762786865
,7,,,,6503,0.8598310947418213,0.10997383296489716,0.04944126680493355,2.346799612045288,,,,
2.5926501750946045,8,2.3777883052825928,2.237412691116333,1.0029356479644775,7316,,,,,0.9508742690086365,0.11773759126663208,0.052061501890420914,2.589073657989502
,8,,,,7316,0.8458514213562012,0.10754963755607605,0.04916774481534958,2.3099074363708496,,,,
2.5926501750946045,9,2.3777883052825928,2.237412691116333,0.9943849444389343,8129,,,,,0.9429565072059631,0.11004232615232468,0.05142894759774208,2.5670411586761475
,9,,,,8129,0.8471452593803406,0.10485608875751495,0.04890463128685951,2.312633991241455,,,,
2.5926501750946045,10,2.3777883052825928,2.237412691116333,1.0005654096603394,8942,,,,,0.9484853744506836,0.1208157017827034,0.052080053836107254,2.5829241275787354
,10,,,,8942,0.8536427617073059,0.11005079001188278,0.04828321933746338,2.328002691268921,,,,
2.5926501750946045,11,2.3777883052825928,2.237412691116333,0.9928292632102966,9755,,,,,0.9412629008293152,0.10619468986988068,0.05156641826033592,2.5629773139953613
,11,,,,9755,0.850710928440094,0.10666461288928986,0.048133544623851776,2.320044755935669,,,,
2.5926501750946045,12,2.3777883052825928,2.237412691116333,0.9924352765083313,10568,,,,,0.9414080381393433,0.09811466187238693,0.05102727934718132,2.562070846557617
,12,,,,10568,0.8327794671058655,0.1058950275182724,0.04789320379495621,2.272984266281128,,,,
2.5926501750946045,13,2.3777883052825928,2.237412691116333,0.9924488067626953,11381,,,,,0.9411894679069519,0.11042708903551102,0.05125918239355087,2.5620570182800293
,13,,,,11381,0.8477552533149719,0.10781899094581604,0.04768368974328041,2.3113133907318115,,,,
2.5926501750946045,14,2.3777883052825928,2.237412691116333,0.9925503730773926,12194,,,,,0.9420664310455322,0.09003462642431259,0.050483882427215576,2.562486410140991
,14,,,,12194,0.8481800556182861,0.11085885763168335,0.04736122488975525,2.3116466999053955,,,,
