epoch,lambda_kl,optuna_loss,step,train_con_loss,train_constraint,train_kl,train_total,val_con_loss,val_constraint,val_kl,val_total
0,,1.053873062133789,812,,,,,0.9836681485176086,0.11619853973388672,0.07020509243011475,7.454713821411133
0,6.379843711853027,,812,0.9924027919769287,0.11228258907794952,0.07866523414850235,7.5709123611450195,,,,
1,,1.0390735864639282,1625,,,,,0.9741351008415222,0.11966140568256378,0.06493828445672989,7.353206634521484
1,6.379843711853027,,1625,0.9145867228507996,0.12509620189666748,0.06477054953575134,6.9279680252075195,,,,
2,,1.0357069969177246,2438,,,,,0.9721513390541077,0.12158522754907608,0.06355585902929306,7.3302531242370605
2,6.379843711853027,,2438,0.8928557634353638,0.12467292696237564,0.061514198780059814,6.752405643463135,,,,
3,,1.0290476083755493,3251,,,,,0.9679804444313049,0.12235475331544876,0.061066802591085434,7.284664154052734
3,6.379843711853027,,3251,0.8915832042694092,0.12559643387794495,0.059487100690603256,6.730401992797852,,,,
4,,1.029003381729126,4064,,,,,0.9684047102928162,0.10619468986988068,0.06059864163398743,7.284701824188232
4,6.379843711853027,,4064,0.8917520046234131,0.12959827482700348,0.05840771272778511,6.7247161865234375,,,,
5,,1.0202958583831787,4877,,,,,0.9613205790519714,0.1477491408586502,0.05897529050707817,7.223881721496582
5,6.379843711853027,,4877,0.8809348940849304,0.14098814129829407,0.05685627833008766,6.637763023376465,,,,
6,,1.0264134407043457,5690,,,,,0.967863142490387,0.12889572978019714,0.05854983627796173,7.267775058746338
6,6.379843711853027,,5690,0.8878331184387207,0.13964137434959412,0.05598302558064461,6.681335926055908,,,,
7,,1.0179234743118286,6503,,,,,0.9610004425048828,0.1535205841064453,0.05692313238978386,7.208510875701904
7,6.379843711853027,,6503,0.886199951171875,0.14306603372097015,0.055086709558963776,6.663978099822998,,,,
8,,1.025364875793457,7316,,,,,0.9692733287811279,0.1477491408586502,0.05609171465039253,7.262137413024902
8,6.379843711853027,,7316,0.8840149641036987,0.13941049575805664,0.0545315146446228,6.644870758056641,,,,
9,,1.0225540399551392,8129,,,,,0.9675477147102356,0.15544439852237701,0.05500657111406326,7.242919445037842
9,6.379843711853027,,8129,0.8750835061073303,0.14398953318595886,0.0525125116109848,6.568371295928955,,,,
10,,1.016636848449707,8942,,,,,0.9622852206230164,0.14505578577518463,0.054351672530174255,7.2012553215026855
10,6.379843711853027,,8942,0.8632476329803467,0.14656764268875122,0.051820579916238785,6.479644298553467,,,,
11,,1.0122548341751099,9755,,,,,0.959492564201355,0.12389380484819412,0.052762143313884735,7.1712236404418945
11,6.379843711853027,,9755,0.8668693900108337,0.14387409389019012,0.05079897865653038,6.498926162719727,,,,
12,,1.0098956823349,10568,,,,,0.9569668173789978,0.1323585957288742,0.052928946912288666,7.154295444488525
12,6.379843711853027,,10568,0.876842200756073,0.14118054509162903,0.05108707770705223,6.571812629699707,,,,
13,,1.0124348402023315,11381,,,,,0.9600245356559753,0.1350519359111786,0.052410151809453964,7.172767162322998
13,6.379843711853027,,11381,0.8639979362487793,0.1320994347333908,0.05061020329594612,6.477269649505615,,,,
14,,1.0072365999221802,12194,,,,,0.9553178548812866,0.13274335861206055,0.051918771117925644,7.136106491088867
14,6.379843711853027,,12194,0.8572133779525757,0.14094966650009155,0.05026104301214218,6.42671537399292,,,,
